insumo_codigo,insumo_nome,data_movimento,deposito_codigo,quantidade,custo,documento,transacao,sinal,sinal_quantidade,nome_transacao,insumo_grupo,insumo_grupo_nome,insumo_subgrupo,insumo_subgrupo_nome
2030021         ,ALCA ALUMINIO PORTUGUESA METALIZADA               ,2025-07-14,1,30.0000,643.02,TRANSFER,15,-1,-30.0000,SA�DA TRANSF./OUTRAS SA�DAS   ,203,ALCAS                                   ,1,ALCAS INDUSTRIALIZADAS                  
2030044         ,SUPORTE 3/4 METALIZADO TRIANGULAR CENTRAL         ,2025-07-14,2,300.0000,322.86,TRANSFER,5,1,300.0000,ENTRADA TRANSF./OUTRAS ENTRADA,203,ALCAS                                   ,1,ALCAS INDUSTRIALIZADAS                  
2040001         ,TUBINHO PLASTICO 1/2 50MM COM ARRUELA INJETADA    ,2025-07-14,2,50.0000,11.75,28972,14,-1,-50.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040001         ,TUBINHO PLASTICO 1/2 50MM COM ARRUELA INJETADA    ,2025-07-14,2,12.0000,2.82,28974,14,-1,-12.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040002         ,ESPACADOR METALIZADO                              ,2025-07-14,2,52.0000,6.04,28938,14,-1,-52.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,2,ESPACADORES                             
2040002         ,ESPACADOR METALIZADO                              ,2025-07-14,2,2.0000,0.23,29034,14,-1,-2.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,2,ESPACADORES                             
2040012         ,CHAVETA GOTICA METALIZADA PEQ. 20MM (VISOR)       ,2025-07-14,2,60.0000,25.46,29023,14,-1,-60.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040012         ,CHAVETA GOTICA METALIZADA PEQ. 20MM (VISOR)       ,2025-07-14,2,6.0000,2.55,29044,14,-1,-6.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040012         ,CHAVETA GOTICA METALIZADA PEQ. 20MM (VISOR)       ,2025-07-14,2,4.0000,1.70,29047,14,-1,-4.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040012         ,CHAVETA GOTICA METALIZADA PEQ. 20MM (VISOR)       ,2025-07-14,2,24.0000,10.18,29049,14,-1,-24.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2040012         ,CHAVETA GOTICA METALIZADA PEQ. 20MM (VISOR)       ,2025-07-14,2,60.0000,25.46,29073,14,-1,-60.0000,REQUISICAO                    ,204,CHAPINHAS E CHAVETAS                    ,1,TUBINHOS PLASTICOS                      
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,75.0000,490.72,TRANSFER,5,1,75.0000,ENTRADA TRANSF./OUTRAS ENTRADA,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,50.0000,327.15,TRANSFER,5,1,50.0000,ENTRADA TRANSF./OUTRAS ENTRADA,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.3000,1.96,28932,14,-1,-0.3000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.5000,3.27,28933,14,-1,-0.5000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.4500,2.94,28934,14,-1,-0.4500,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,2.7000,17.67,28935,14,-1,-2.7000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,2.4000,15.70,28950,14,-1,-2.4000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.1892,1.24,0,14,-1,-0.1892,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,1.2950,8.47,28982,14,-1,-1.2950,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.0259,0.17,29034,14,-1,-0.0259,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,1.1000,7.20,29041,14,-1,-1.1000,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050001         ,COLA PVA BRANCA 5330 CONTAINER 1000 KG            ,2025-07-14,2,0.7770,5.08,29075,14,-1,-0.7770,REQUISICAO                    ,205,COLAS                                   ,1,COLAS BRANCA                            
2050002         ,COLA HOT MELT CQ-616                              ,2025-07-14,2,25.0000,757.08,TRANSFER,5,1,25.0000,ENTRADA TRANSF./OUTRAS ENTRADA,205,COLAS                                   ,1,COLAS BRANCA                            
2050002         ,COLA HOT MELT CQ-616                              ,2025-07-14,1,25.0000,757.08,TRANSFER,15,-1,-25.0000,SA�DA TRANSF./OUTRAS SA�DAS   ,205,COLAS                                   ,1,COLAS BRANCA                            
2070009         ,VISOR VIDRO 050/060                               ,2025-07-14,2,6.0000,0.00,TRANSFER,5,1,6.0000,ENTRADA TRANSF./OUTRAS ENTRADA,207,VISORES DE VIDRO                        ,1,VISORES DE VIDRO                        
2130008         ,"CHAPA DURA 2,5X1220X2440MM/150CH                  ",2025-07-14,1,3560.8600,22472.94,TRANSFER,15,-1,-3560.8600,SA�DA TRANSF./OUTRAS SA�DAS   ,213,CHAPAS                                  ,1,CHAPAS                                  
2130011         ,"CHAPA MDF 15,0X2200X2750MM/36CH                   ",2025-07-14,2,106.9388,1945.51,28943,14,-1,-106.9388,REQUISICAO                    ,213,CHAPAS                                  ,1,CHAPAS                                  
2150002         ,MASSA BA SILKSCREEN AMARELO YL.1299.477RBA        ,2025-07-14,2,0.0210,0.62,28984,14,-1,-0.0210,REQUISICAO                    ,215,TINTAS E VERNIZES                       ,1,SILKSCREEN                              
2150002         ,MASSA BA SILKSCREEN AMARELO YL.1299.477RBA        ,2025-07-14,2,0.0420,1.23,28999,14,-1,-0.0420,REQUISICAO                    ,215,TINTAS E VERNIZES                       ,1,SILKSCREEN                              
2150020         ,MASSA UV  2260 TAMBOR                             ,2025-07-14,2,0.2187,1.83,28961,14,-1,-0.2187,REQUISICAO                    ,215,TINTAS E VERNIZES                       ,1,SILKSCREEN                              
2160009         ,LIXA PANO 1330X3250 MM GR.100 / CALIBRAR          ,2025-07-14,2,0.0400,4.76,29027,14,-1,-0.0400,REQUISICAO                    ,216,ABRASIVOS                               ,1,ABRASIVOS                               
2170004         ,CRISTO PLASTICO DOURADO 20 CM                     ,2025-07-14,2,4.0000,7.44,29049,14,-1,-4.0000,REQUISICAO                    ,217,ACESSORIOS                              ,1,ACESSORIOS                              
2180001         ,PORCA SEXTAVADA ZINCADA 1/4                       ,2025-07-14,2,156.0000,8.33,28938,14,-1,-156.0000,REQUISICAO                    ,218,ARTEFATOS DE FIXACAO                    ,1,PORCAS                                  
2180006         ,ARRUELA ZINCADA 1/4                               ,2025-07-14,2,156.0000,3.60,28938,14,-1,-156.0000,REQUISICAO                    ,218,ARTEFATOS DE FIXACAO                    ,3,ARRUELAS                                
2180006         ,ARRUELA ZINCADA 1/4                               ,2025-07-14,2,50.0000,1.15,29004,14,-1,-50.0000,REQUISICAO                    ,218,ARTEFATOS DE FIXACAO                    ,3,ARRUELAS                                
2190019         ,FORRO PAPEL TP S/VISOR 2.10X60X40                 ,2025-07-14,2,1.0000,1.31,TRANSFER,5,1,1.0000,ENTRADA TRANSF./OUTRAS ENTRADA,219,FORRACAO                                ,1,BABADO                                  
2190026         ,FORRO PAPEL CAIXAO GORDA                          ,2025-07-14,2,13.0000,17.99,TRANSFER,5,1,13.0000,ENTRADA TRANSF./OUTRAS ENTRADA,219,FORRACAO                                ,1,BABADO                                  
